siteid,date,new_positive_cases,patients_in_icu,new_deaths
BCH,2020-03-20,5,1,-2
BCH,2020-03-21,7,2,-2
BCH,2020-03-22,10,4,-2
BCH,2020-03-23,13,5,-2
BCH,2020-03-24,15,6,-2
BCH,2020-03-25,27,7,-2
BCH,2020-03-26,29,9,-2
BCH,2020-03-27,30,10,-2
BCH,2020-03-28,31,12,-2
BCH,2020-03-29,36,14,-2
BCH,2020-03-30,43,17,-2
BCH,2020-03-31,46,18,-2
BCH,2020-04-01,49,19,-2
BCH,2020-04-02,55,22,-2
BCH,2020-04-03,59,23,-2
BCH,2020-04-04,64,24,-2
BCH,2020-04-05,65,25,-2
BCH,2020-04-06,66,26,-2
BCH,2020-04-07,68,27,-2
BCH,2020-04-08,76,28,-2
BCH,2020-04-09,77,29,-2
BCH,2020-04-10,78,32,-2
BCH,2020-04-11,80,33,-2
BCH,2020-04-12,82,37,-2
BCH,2020-04-13,85,39,-2
BCH,2020-04-14,89,41,-2
BCH,2020-04-15,90,42,-2
BCH,2020-04-16,91,43,-2
BCH,2020-04-17,92,44,-2
BCH,2020-04-18,94,45,-2
BCH,2020-04-19,96,46,-2
BCH,2020-04-20,100,48,-2
