,country,date,num_sites,cumulative_count,count,date_str,N0,n1,n2,percent_increase,R,C,standard_error,95_CI_below,95_CI_above,category,jhu_past_100
0,France,2020-04-04,2.0,6868.0,227.0,2020-04-04,,227.0,,,,,,,,All,False
1,France,2020-04-05,2.0,7026.0,158.0,2020-04-05,6868.0,158.0,227.0,2.3005241700640653,2.3005241700640653,1.3005241700640653,0.03344905562604855,0.9420581436500854,1.6589901964780451,All,False
2,France,2020-04-06,2.0,7310.0,284.0,2020-04-06,7026.0,284.0,158.0,4.042129234272701,4.042129234272701,3.042129234272701,0.12899327835971336,2.338182802967964,3.746075665577438,All,True
3,France,2020-04-07,2.0,7519.0,209.0,2020-04-07,7310.0,209.0,284.0,2.859097127222982,2.859097127222982,1.8590971272229821,0.03885047010604821,1.4727708843150031,2.245423370130961,All,False
4,France,2020-04-08,2.0,7718.0,199.0,2020-04-08,7519.0,199.0,209.0,2.646628541029392,2.646628541029392,1.6466285410293922,0.04617833098191752,1.2254413186446973,2.067815763414087,All,False
5,France,2020-04-09,2.0,7876.0,158.0,2020-04-09,7718.0,158.0,199.0,2.047162477325732,2.047162477325732,1.047162477325732,0.031346918019578694,0.7001432843925262,1.3941816702589378,All,False
6,France,2020-04-10,2.0,8089.0,213.0,2020-04-10,7876.0,213.0,158.0,2.7044184865413916,2.7044184865413916,1.7044184865413916,0.06340694833473559,1.2108760539961034,2.19796091908668,All,False
7,France,2020-04-11,2.0,8197.0,108.0,2020-04-11,8089.0,108.0,213.0,1.33514649524045,1.33514649524045,0.3351464952404499,0.014637383375555433,0.09801578871863789,0.5722772017622619,All,False
8,France,2020-04-12,2.0,8295.0,98.0,2020-04-12,8197.0,98.0,108.0,1.1955593509820666,1.1955593509820666,0.19555935098206656,0.024304828821321546,-0.11000476733025893,0.501123469294392,All,False
9,France,2020-04-13,2.0,8380.0,85.0,2020-04-13,8295.0,85.0,98.0,1.024713682941531,1.024713682941531,0.02471368294153109,0.021170936887235998,-0.2604709434779269,0.30989830936098905,All,True
10,France,2020-04-14,2.0,8499.0,119.0,2020-04-14,8380.0,119.0,85.0,1.4200477326968974,1.4200477326968974,0.42004773269689744,0.040430391715699954,0.025944455858156912,0.8141510095356379,All,False
11,France,2020-04-15,2.0,8615.0,116.0,2020-04-15,8499.0,116.0,119.0,1.3648664548770444,1.3648664548770444,0.3648664548770444,0.027123755416182147,0.04206834644577534,0.6876645633083134,All,False
12,France,2020-04-16,2.0,8725.0,110.0,2020-04-16,8615.0,110.0,116.0,1.2768427161926872,1.2768427161926872,0.2768427161926872,0.025061810673163848,-0.033443364516754615,0.587128796902129,All,False
13,France,2020-04-17,2.0,8832.0,107.0,2020-04-17,8725.0,107.0,110.0,1.2263610315186246,1.2263610315186246,0.22636103151862463,0.02482111282860045,-0.08243143445545237,0.5351534974927017,All,False
14,France,2020-04-18,2.0,8887.0,55.0,2020-04-18,8832.0,55.0,107.0,0.6227355072463768,0.6227355072463768,-0.37726449275362317,0.00944425251618485,-0.5677403192150818,-0.18678866629216448,All,False
15,France,2020-04-19,2.0,8934.0,47.0,2020-04-19,8887.0,47.0,55.0,0.5288623832564421,0.5288623832564421,-0.4711376167435579,0.01470105097600229,-0.7087834823280666,-0.23349175115904916,All,False
16,France,2020-04-20,2.0,9012.0,78.0,2020-04-20,8934.0,78.0,47.0,0.8730691739422431,0.8730691739422431,-0.12693082605775685,0.034794020349583704,-0.49253267038428755,0.23867101826877385,All,True
17,France,2020-04-21,2.0,9078.0,66.0,2020-04-21,9012.0,66.0,78.0,0.7323568575233023,0.7323568575233023,-0.26764314247669774,0.01626542851647062,-0.5176136811185015,-0.01767260383489394,All,False
18,France,2020-04-22,2.0,9137.0,59.0,2020-04-22,9078.0,59.0,66.0,0.6499228905045163,0.6499228905045163,-0.35007710949548365,0.016247312941003966,-0.5999084073629863,-0.10024581162798099,All,False
19,France,2020-04-23,2.0,9181.0,44.0,2020-04-23,9137.0,44.0,59.0,0.4815584984130459,0.4815584984130459,-0.5184415015869541,0.012092492979777516,-0.733974610484667,-0.30290839268924136,All,False
20,France,2020-04-24,2.0,9229.0,48.0,2020-04-24,9181.0,48.0,44.0,0.5228188650473805,0.5228188650473805,-0.4771811349526195,0.0180945097885639,-0.740832170990309,-0.21353009891492997,All,False
21,France,2020-04-25,2.0,9263.0,34.0,2020-04-25,9229.0,34.0,48.0,0.3684039440892838,0.3684039440892838,-0.6315960559107162,0.010502612710621332,-0.8324612768652729,-0.4307308349561595,All,False
22,France,2020-04-26,2.0,9288.0,25.0,2020-04-26,9263.0,25.0,34.0,0.2698909640505236,0.2698909640505236,-0.7301090359494764,0.01008035578019543,-0.9268949469421051,-0.5333231249568477,All,False
23,France,2020-04-27,2.0,9334.0,46.0,2020-04-27,9288.0,46.0,25.0,0.49526270456503013,0.49526270456503013,-0.5047372954349698,0.02962191404392394,-0.8420732481455254,-0.1674013427244142,All,True
24,France,2020-04-28,2.0,9372.0,38.0,2020-04-28,9334.0,38.0,46.0,0.4071137775873152,0.4071137775873152,-0.5928862224126847,0.012453378380189764,-0.8116118459352546,-0.3741605988901148,All,False
25,France,2020-04-29,2.0,9388.0,16.0,2020-04-29,9372.0,16.0,38.0,0.17072129748186088,0.17072129748186088,-0.8292787025181392,0.005259659444625024,-0.9714247813331085,-0.6871326237031699,All,False
